"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"148","Christchurch Aero","20160307:0300",0,1,"G","H"
"149","Christchurch Aero","20160307:0400",0,1,"G","H"
"150","Christchurch Aero","20160307:0500",0,1,"G","H"
"151","Christchurch Aero","20160307:0600",0,1,"G","H"
"152","Christchurch Aero","20160307:0700",0,1,"G","H"
"153","Christchurch Aero","20160307:0800",0.02,1,"G","H"
"154","Christchurch Aero","20160307:0900",0.26,1,"G","H"
"155","Christchurch Aero","20160307:1000",0.5,1,"G","H"
"156","Christchurch Aero","20160307:1100",0.37,1,"G","H"
"157","Christchurch Aero","20160307:1200",0.36,1,"G","H"
"158","Christchurch Aero","20160307:1300",0.87,1,"G","H"
"159","Christchurch Aero","20160307:1400",1.18,1,"G","H"
"160","Christchurch Aero","20160307:1500",1.17,1,"G","H"
"161","Christchurch Aero","20160307:1600",1.14,1,"G","H"
"162","Christchurch Aero","20160307:1700",1.17,1,"G","H"
"163","Christchurch Aero","20160307:1800",0.8,1,"G","H"
"164","Christchurch Aero","20160307:1900",0.24,1,"G","H"
"165","Christchurch Aero","20160307:2000",0.43,1,"G","H"
"166","Christchurch Aero","20160307:2100",0.01,1,"G","H"
"167","Christchurch Aero","20160307:2200",0,1,"G","H"
"168","Christchurch Aero","20160307:2300",0,1,"G","H"
"169","Christchurch Aero","20160308:0000",0,1,"G","H"
"170","Christchurch Aero","20160308:0100",0,1,"G","H"
"171","Christchurch Aero","20160308:0200",0,1,"G","H"
"172","Christchurch Aero","20160308:0300",0,1,"G","H"
"173","Christchurch Aero","20160308:0400",0,1,"G","H"
"174","Christchurch Aero","20160308:0500",0,1,"G","H"
"175","Christchurch Aero","20160308:0600",0,1,"G","H"
"176","Christchurch Aero","20160308:0700",0,1,"G","H"
"177","Christchurch Aero","20160308:0800",0.02,1,"G","H"
"178","Christchurch Aero","20160308:0900",0.52,1,"G","H"
"179","Christchurch Aero","20160308:1000",0.99,1,"G","H"
"180","Christchurch Aero","20160308:1100",0.56,1,"G","H"
"181","Christchurch Aero","20160308:1200",0.5,1,"G","H"
"182","Christchurch Aero","20160308:1300",0.59,1,"G","H"
"183","Christchurch Aero","20160308:1400",0.7,1,"G","H"
"184","Christchurch Aero","20160308:1500",0.68,1,"G","H"
"185","Christchurch Aero","20160308:1600",0.83,1,"G","H"
"186","Christchurch Aero","20160308:1700",0.85,1,"G","H"
"187","Christchurch Aero","20160308:1800",0.22,1,"G","H"
"188","Christchurch Aero","20160308:1900",0.24,1,"G","H"
"189","Christchurch Aero","20160308:2000",0.06,1,"G","H"
"190","Christchurch Aero","20160308:2100",0,1,"G","H"
"191","Christchurch Aero","20160308:2200",0,1,"G","H"
"192","Christchurch Aero","20160308:2300",0,1,"G","H"
"193","Christchurch Aero","20160309:0000",0,1,"G","H"
"194","Christchurch Aero","20160309:0100",0,1,"G","H"
"195","Christchurch Aero","20160309:0200",0,1,"G","H"
"196","Christchurch Aero","20160309:0300",0,1,"G","H"
"197","Christchurch Aero","20160309:0400",0,1,"G","H"
"198","Christchurch Aero","20160309:0500",0,1,"G","H"
"199","Christchurch Aero","20160309:0600",0,1,"G","H"
"200","Christchurch Aero","20160309:0700",0,1,"G","H"
"201","Christchurch Aero","20160309:0800",0,1,"G","H"
"202","Christchurch Aero","20160309:0900",0.36,1,"G","H"
"203","Christchurch Aero","20160309:1000",1.23,1,"G","H"
"204","Christchurch Aero","20160309:1100",1.87,1,"G","H"
"205","Christchurch Aero","20160309:1200",2.14,1,"G","H"
"206","Christchurch Aero","20160309:1300",2.31,1,"G","H"
"207","Christchurch Aero","20160309:1400",2.69,1,"G","H"
"208","Christchurch Aero","20160309:1500",2.81,1,"G","H"
"209","Christchurch Aero","20160309:1600",2.57,1,"G","H"
"210","Christchurch Aero","20160309:1700",1.43,1,"G","H"
"211","Christchurch Aero","20160309:1800",0.94,1,"G","H"
"212","Christchurch Aero","20160309:1900",0.45,1,"G","H"
"213","Christchurch Aero","20160309:2000",0.19,1,"G","H"
"214","Christchurch Aero","20160309:2100",0,1,"G","H"
"215","Christchurch Aero","20160309:2200",0,1,"G","H"
"216","Christchurch Aero","20160309:2300",0,1,"G","H"
"217","Christchurch Aero","20160310:0000",0,1,"G","H"
"218","Christchurch Aero","20160310:0100",0,1,"G","H"
"219","Christchurch Aero","20160310:0200",0,1,"G","H"
"220","Christchurch Aero","20160310:0300",0,1,"G","H"
"221","Christchurch Aero","20160310:0400",0,1,"G","H"
"222","Christchurch Aero","20160310:0500",0,1,"G","H"
"223","Christchurch Aero","20160310:0600",0,1,"G","H"
"224","Christchurch Aero","20160310:0700",0,1,"G","H"
"225","Christchurch Aero","20160310:1200",1.2,1,"G","H"
"226","Christchurch Aero","20160310:1300",2.6,1,"G","H"
"227","Christchurch Aero","20160310:1400",2.96,1,"G","H"
"228","Christchurch Aero","20160310:1500",2.36,1,"G","H"
"229","Christchurch Aero","20160310:1600",2.76,1,"G","H"
"230","Christchurch Aero","20160310:1700",2.32,1,"G","H"
"231","Christchurch Aero","20160310:1800",1.76,1,"G","H"
"232","Christchurch Aero","20160310:1900",1.06,1,"G","H"
"233","Christchurch Aero","20160310:2000",0.32,1,"G","H"
"234","Christchurch Aero","20160310:2100",0,1,"G","H"
"235","Christchurch Aero","20160310:2200",0,1,"G","H"
"236","Christchurch Aero","20160310:2300",0,1,"G","H"
"237","Christchurch Aero","20160311:0000",0,1,"G","H"
"238","Christchurch Aero","20160311:0100",0,1,"G","H"
"239","Christchurch Aero","20160311:0200",0,1,"G","H"
"240","Christchurch Aero","20160311:0300",0,1,"G","H"
"241","Christchurch Aero","20160311:0400",0,1,"G","H"
"242","Christchurch Aero","20160311:0500",0,1,"G","H"
"243","Christchurch Aero","20160311:0600",0,1,"G","H"
"244","Christchurch Aero","20160311:0700",0,1,"G","H"
"245","Christchurch Aero","20160311:0800",0,1,"G","H"
"246","Christchurch Aero","20160311:0900",0.06,1,"G","H"
"247","Christchurch Aero","20160311:1000",0.32,1,"G","H"
"248","Christchurch Aero","20160311:1100",0.52,1,"G","H"
"249","Christchurch Aero","20160311:1200",0.8,1,"G","H"
"250","Christchurch Aero","20160311:1300",1.42,1,"G","H"
"251","Christchurch Aero","20160311:1400",2.48,1,"G","H"
"252","Christchurch Aero","20160311:1500",2.42,1,"G","H"
"253","Christchurch Aero","20160311:1600",2.17,1,"G","H"
"254","Christchurch Aero","20160311:1700",1.4,1,"G","H"
"255","Christchurch Aero","20160311:1800",1.3,1,"G","H"
"256","Christchurch Aero","20160311:1900",0.95,1,"G","H"
"257","Christchurch Aero","20160311:2000",0.24,1,"G","H"
"258","Christchurch Aero","20160311:2100",0,1,"G","H"
"259","Christchurch Aero","20160311:2200",0,1,"G","H"
"260","Christchurch Aero","20160311:2300",0,1,"G","H"
"261","Christchurch Aero","20160312:0000",0,1,"G","H"
"262","Christchurch Aero","20160312:0100",0,1,"G","H"
"263","Christchurch Aero","20160312:0200",0,1,"G","H"
"264","Christchurch Aero","20160312:0300",0,1,"G","H"
"265","Christchurch Aero","20160312:0400",0,1,"G","H"
"266","Christchurch Aero","20160312:0500",0,1,"G","H"
"267","Christchurch Aero","20160312:0600",0,1,"G","H"
"268","Christchurch Aero","20160312:0700",0,1,"G","H"
"269","Christchurch Aero","20160312:0800",0.02,1,"G","H"
"270","Christchurch Aero","20160312:0900",0.51,1,"G","H"
"271","Christchurch Aero","20160312:1000",1.17,1,"G","H"
"272","Christchurch Aero","20160312:1100",1.85,1,"G","H"
"273","Christchurch Aero","20160312:1200",2.39,1,"G","H"
"274","Christchurch Aero","20160312:1300",2.74,1,"G","H"
"275","Christchurch Aero","20160312:1400",2.86,1,"G","H"
"276","Christchurch Aero","20160312:1500",2.51,1,"G","H"
"277","Christchurch Aero","20160312:1600",2.08,1,"G","H"
"278","Christchurch Aero","20160312:1700",2.06,1,"G","H"
"279","Christchurch Aero","20160312:1800",0.84,1,"G","H"
"280","Christchurch Aero","20160312:1900",0.39,1,"G","H"
