"","Station","Date.local.","Amount.MJ.m2.","Period.Hrs.","Type","Freq"
"166","Pukekohe Ews","20160307:2100",0,1,"G","H"
"167","Pukekohe Ews","20160307:2200",0,1,"G","H"
"168","Pukekohe Ews","20160307:2300",0,1,"G","H"
"169","Pukekohe Ews","20160308:0000",0,1,"G","H"
"170","Pukekohe Ews","20160308:0100",0,1,"G","H"
"171","Pukekohe Ews","20160308:0200",0,1,"G","H"
"172","Pukekohe Ews","20160308:0300",0,1,"G","H"
"173","Pukekohe Ews","20160308:0400",0,1,"G","H"
"174","Pukekohe Ews","20160308:0500",0,1,"G","H"
"175","Pukekohe Ews","20160308:0600",0,1,"G","H"
"176","Pukekohe Ews","20160308:0700",0,1,"G","H"
"177","Pukekohe Ews","20160308:0800",0.08,1,"G","H"
"178","Pukekohe Ews","20160308:0900",0.67,1,"G","H"
"179","Pukekohe Ews","20160308:1000",1.16,1,"G","H"
"180","Pukekohe Ews","20160308:1100",1.35,1,"G","H"
"181","Pukekohe Ews","20160308:1200",2.03,1,"G","H"
"182","Pukekohe Ews","20160308:1300",2.7,1,"G","H"
"183","Pukekohe Ews","20160308:1400",2.11,1,"G","H"
"184","Pukekohe Ews","20160308:1500",2.74,1,"G","H"
"185","Pukekohe Ews","20160308:1600",1.84,1,"G","H"
"186","Pukekohe Ews","20160308:1700",1.61,1,"G","H"
"187","Pukekohe Ews","20160308:1800",1.28,1,"G","H"
"188","Pukekohe Ews","20160308:1900",0.35,1,"G","H"
"189","Pukekohe Ews","20160308:2000",0.06,1,"G","H"
"190","Pukekohe Ews","20160308:2100",0,1,"G","H"
"191","Pukekohe Ews","20160308:2200",0,1,"G","H"
"192","Pukekohe Ews","20160308:2300",0,1,"G","H"
"193","Pukekohe Ews","20160309:0000",0,1,"G","H"
"194","Pukekohe Ews","20160309:0100",0,1,"G","H"
"195","Pukekohe Ews","20160309:0200",0,1,"G","H"
"196","Pukekohe Ews","20160309:0300",0,1,"G","H"
"197","Pukekohe Ews","20160309:0400",0,1,"G","H"
"198","Pukekohe Ews","20160309:0500",0,1,"G","H"
"199","Pukekohe Ews","20160309:0600",0,1,"G","H"
"200","Pukekohe Ews","20160309:0700",0,1,"G","H"
"201","Pukekohe Ews","20160309:0800",0.04,1,"G","H"
"202","Pukekohe Ews","20160309:0900",0.4,1,"G","H"
"203","Pukekohe Ews","20160309:1000",1.3,1,"G","H"
"204","Pukekohe Ews","20160309:1100",1.52,1,"G","H"
"205","Pukekohe Ews","20160309:1200",2.42,1,"G","H"
"206","Pukekohe Ews","20160309:1300",2.97,1,"G","H"
