Trading_period,Trading_date,Season,Tararua,Tararua_Embed,TeApiti,TeRereHau,TeUku,Westwind,Whitehill
48,2019-10-05,Spring,0.7951158027990974,0.6797474717225024,0.7764970551806072,0.6302813274694637,0.7933453656655944,0.6458124594801674,0.024811188009003726
1,2019-10-06,Spring,0.7462136907162934,0.6025950367140303,0.7398447966431586,0.5715255232120913,0.7986789442746112,0.6045411681499382,0.02660133311201635
2,2019-10-06,Spring,0.7210266619469285,0.5581697033550068,0.6940673896008696,0.5511195579428672,0.687753016428717,0.57267047798668,0.012888936635701058
3,2019-10-06,Spring,0.7396778595804737,0.5723578900612752,0.6730112990065974,0.5504855752475848,0.6576760857441338,0.5395620911180528,0.003723470583646972
4,2019-10-06,Spring,0.7450127185965915,0.5740430853133537,0.6394934405095928,0.5335815648367236,0.6015692731520977,0.5487122060470325,0.0003580260176583627
5,2019-10-06,Spring,0.7329174750132856,0.5393506618628365,0.6126488208083718,0.539224857389167,0.5963878243389534,0.558260152059881,0.0014679066723992872
6,2019-10-06,Spring,0.7730315902316056,0.6103342719562292,0.7200272996132555,0.5687737185013364,0.6218964954190486,0.5498172923911122,0.019512417962380766
7,2019-10-06,Spring,0.802856493435814,0.6442758553945088,0.756502616212937,0.611351676503275,0.5553961257402911,0.5531767548771144,0.02126674544890674
8,2019-10-06,Spring,0.8114972271538607,0.6662023096068509,0.7781653648795531,0.611009758536309,0.5594738339778542,0.48863971238286086,0.02541984725374375
9,2019-10-06,Spring,0.8160292276185173,0.681607526674106,0.7991456232147822,0.6165782712307777,0.2709989707655773,0.4328844227028939,0.04536189643731456
10,2019-10-06,Spring,0.8261233845644441,0.6574577558161384,0.7824372488056419,0.6345583590947592,0.09893807881666682,0.39651971474037845,0.022519836510711013
11,2019-10-06,Spring,0.8374507560270416,0.6919142439971305,0.7596370162533809,0.6854721548498031,0.054788455793425346,0.45177403194436266,0.0016469196812284683
12,2019-10-06,Spring,0.8418780258689211,0.7139550112879355,0.7948737392886934,0.7303649962539525,0.023454487231097026,0.4180762656922261,0.0
13,2019-10-06,Spring,0.821668674384719,0.7103081397749131,0.8198731073532014,0.7036290806169198,0.0359635470876821,0.3387310661873048,0.0006086442300192165
14,2019-10-06,Spring,0.8278809382034447,0.6810433365130076,0.7355223578777078,0.719572710713414,0.03909081205182838,0.2042052219013379,0.012423502812745185
